StudentID,Age,Attendance,StudyHours,Marks
1,23,91,6,41
2,19,68,1,62
3,21,98,3,94
4,21,68,5,68
5,24,88,8,38
6,22,85,5,56
7,20,98,8,98
8,18,60,7,71
9,24,68,8,44
10,19,74,8,85
11,24,90,4,84
12,22,76,7,93
13,23,55,7,41
14,19,95,4,92
15,18,65,3,86
16,18,93,7,56
17,20,59,10,69
18,20,50,3,82
19,22,71,4,63
20,24,72,5,55
21,19,100,6,90
22,19,51,9,84
23,18,98,7,54
24,18,53,2,48
25,23,63,4,67
26,18,71,3,35
27,24,80,3,98
28,18,90,1,63
29,21,100,10,58
30,23,50,8,46
31,23,79,9,47
32,24,74,10,94
33,21,84,5,49
34,22,93,3,96
35,20,69,5,54
36,23,84,2,95
37,21,96,4,35
38,19,79,1,95
39,18,71,8,76
40,23,53,8,91
41,24,66,3,96
42,24,66,4,77
43,21,79,4,53
44,23,96,1,69
45,22,50,9,55
46,24,77,2,70
47,19,76,8,66
48,18,70,9,93
49,22,99,8,53
50,22,72,2,52
51,20,85,8,51
52,21,83,9,84
53,20,88,9,84
54,19,67,7,87
55,19,97,1,52
56,22,86,7,35
57,23,77,7,58
58,22,66,10,82
59,23,61,4,66
60,22,54,7,83
61,22,88,1,70
62,21,93,10,59
63,20,78,1,49
64,20,65,6,37
65,19,73,5,63
66,23,80,4,69
67,23,94,10,44
68,19,72,9,75
69,23,56,9,99
70,20,81,4,68
71,18,54,1,67
72,21,72,7,60
73,20,53,5,67
74,21,73,6,74
75,18,79,5,59
76,22,94,6,51
77,22,61,10,90
78,24,51,3,69
79,24,71,9,97
80,18,83,6,66
81,20,97,10,95
82,20,94,5,61
83,19,60,7,87
84,20,73,2,84
85,21,71,3,61
86,19,71,5,62
87,20,73,3,85
88,24,65,1,93
89,23,87,9,55
90,24,93,10,99
91,24,100,6,61
92,22,62,4,64
93,22,55,9,70
94,20,94,8,49
95,22,67,2,54
96,23,99,4,53
97,19,91,4,96
98,23,97,3,51
99,24,80,4,85
100,21,90,6,54
101,19,86,10,96
102,24,88,9,95
103,24,89,4,82
104,21,58,6,93
105,23,50,10,40
106,24,77,5,99
107,20,56,2,37
108,21,63,7,52
109,20,59,3,91
110,23,63,8,36
111,22,80,7,57
112,20,52,4,93
113,19,60,1,89
114,24,82,2,62
115,19,55,1,63
116,18,76,7,91
117,23,93,2,44
118,24,85,5,75
119,24,57,5,97
